1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 11 11
13 13 13
15 15 15
17 17 17
19 18 17
21 20 19
24 21 18
27 23 20
30 26 23
33 29 26
37 32 28
41 36 32
46 39 34
51 42 36
57 47 41
62 52 46
69 57 49
76 62 54
84 66 58
93 72 62
103 79 67
113 87 75
125 96 84
138 105 92
152 112 98
168 120 104
185 129 109
202 142 122
223 152 128
246 164 136
271 173 141
299 186 151
329 199 161
362 217 175
399 233 186
439 251 194
483 267 201
532 283 209
586 309 229
645 328 240
710 356 264
782 384 282
861 412 296
948 440 314
1043 478 343
1148 510 357
1263 538 370
1390 581 397
1530 624 431
1684 674 465
1853 734 507
2039 783 534
2243 841 563
2468 907 599
2715 969 628
2987 1048 675
3286 1123 721
3615 1206 765
3977 1285 802
4375 1359 841
4813 1454 899
5295 1538 933
5825 1611 964
6408 1682 992
7049 1793 1039
7754 1913 1101
8530 2040 1167
9383 2147 1200
10322 2265 1259
11355 2382 1315
12491 2536 1398
13741 2709 1486
15116 2886 1566
16628 3031 1628
18291 3238 1743
20121 3469 1852
22134 3651 1916
24348 3853 1996
26783 4093 2119
29462 4369 2240
32409 4632 2361
35650 4938 2509
39215 5223 2630
43137 5518 2738
47451 5803 2850
52197 6088 2957
57417 6407 3072
63159 6674 3156
69475 7001 3255
76423 7322 3331
84066 7585 3392
92473 7881 3443
101247 8198 3545
