1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 11 11
13 13 13
15 13 11
17 15 13
19 17 15
21 18 15
24 20 16
27 21 16
30 24 19
33 26 21
37 29 23
41 31 25
45 35 29
50 39 32
56 43 36
61 48 41
67 53 45
73 59 51
80 65 56
88 71 62
97 77 66
107 84 71
118 91 77
130 99 82
143 109 90
158 119 98
174 126 103
192 136 111
212 148 122
234 160 133
257 176 147
283 192 158
312 209 174
344 223 186
379 243 204
417 260 217
459 281 232
505 306 253
556 329 268
612 352 284
674 383 314
742 410 332
817 437 346
899 458 360
989 490 383
1088 527 411
1197 572 445
1317 614 472
1449 652 497
1594 714 544
1754 778 596
1930 845 645
2123 909 690
2336 987 750
2570 1054 788
2828 1141 844
3111 1244 922
3423 1353 1001
3727 1489 1108
4100 1598 1187
4510 1713 1255
4961 1815 1306
5458 1925 1349
6004 2070 1439
6605 2186 1490
7266 2356 1597
7993 2512 1688
8793 2714 1822
9673 2876 1897
10641 3062 1986
11706 3255 2079
12877 3405 2136
14165 3610 2231
15582 3829 2343
17141 4073 2465
18856 4333 2591
20742 4582 2709
22817 4891 2849
25099 5177 2995
27609 5489 3168
30370 5781 3304
33407 6117 3470
36748 6415 3555
40423 6752 3656
44466 7105 3788
48913 7410 3882
53805 7805 4041
59186 8140 4114
65105 8598 4275
71616 8983 4373
78778 9351 4481
86656 9873 4666
95322 10284 4799
104855 10726 4939
115341 11159 5036
126876 11609 5198
139564 12101 5303
153521 12567 5397
168874 13513 5849
185762 14244 6051
204339 14947 6295
224773 15669 6529
247251 16425 6767
271977 17168 7006
298339 18259 7186
