1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 10 9
13 11 9
15 13 11
17 14 11
19 15 12
21 17 14
23 19 16
25 21 18
28 23 20
31 25 21
35 28 23
38 31 26
42 33 28
47 36 31
52 38 31
58 41 34
64 46 38
69 51 43
75 57 49
83 62 53
91 69 60
101 75 64
112 80 67
124 82 66
137 86 69
151 88 70
167 92 73
184 95 76
203 99 80
224 104 85
247 109 89
272 115 93
300 120 97
330 126 102
364 134 109
401 141 113
442 155 120
472 171 133
501 189 147
538 208 161
592 228 171
641 251 188
702 277 204
773 305 221
851 334 242
929 368 269
1022 401 295
1125 435 317
1238 475 341
1362 513 362
1499 560 392
1649 610 422
1774 671 464
1952 737 514
2148 793 553
2363 842 572
2600 879 582
2860 967 644
3147 1048 699
3462 1126 748
3809 1233 815
4190 1312 853
4609 1421 924
5070 1531 998
5577 1623 1045
6135 1723 1096
6749 1832 1166
7424 1937 1231
8167 2048 1282
8984 2251 1431
9883 2446 1560
10872 2611 1665
11960 2812 1777
13157 2988 1867
14473 3217 1993
15921 3435 2113
17514 3639 2204
19266 3864 2325
21193 4086 2444
23313 4277 2498
25645 4494 2582
28210 4664 2616
31032 4838 2679
34136 5128 2812
37550 5394 2896
41305 5646 2984
45436 5874 3067
49980 6097 3134
54979 6299 3171
60477 6550 3220
66525 6823 3294
73178 7072 3360
80496 7393 3447
88546 7734 3577
97401 8032 3652
107142 8308 3714
117857 8545 3809
129643 8848 3901
142608 9244 4015
156869 9626 4117
172556 9952 4187
189812 10355 4291
208794 10655 4360
229674 11102 4498
252642 11459 4578
277907 11895 4678
305698 12445 4883
336268 12866 5025
369895 13321 5161
406885 13826 5294
447574 14638 5557
492332 15271 5756
541566 15961 5976
595723 16586 6149
655296 17258 6308
720826 17776 6395
792909 18469 6573
872200 19081 6727
959421 19708 6869
1055364 20659 7173
1160901 21630 7466
1268149 22738 7869
