1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 11 11
13 13 13
15 15 15
17 17 17
19 19 19
21 20 19
24 20 16
26 22 18
29 25 21
32 26 21
35 29 24
38 32 27
42 34 27
47 38 30
52 41 32
58 45 36
64 50 41
71 53 41
79 55 40
87 59 43
96 63 46
106 67 48
117 70 50
129 77 56
142 80 55
157 80 51
173 83 51
191 91 59
211 99 65
230 109 73
247 120 80
272 131 88
300 135 85
330 137 78
364 140 66
401 152 75
420 168 90
454 185 103
500 202 111
543 223 128
594 246 150
644 271 172
709 296 190
780 324 207
859 346 217
945 371 232
1040 408 258
1144 430 260
1241 474 293
1366 516 323
1503 555 349
1654 593 374
1820 642 399
2003 679 410
2204 731 445
2425 771 466
2668 818 495
2902 900 556
3193 964 584
3513 1059 643
3865 1120 672
4252 1175 684
4670 1293 774
5137 1420 854
5522 1563 970
6075 1669 1016
6683 1777 1073
7352 1885 1121
8088 1996 1164
8897 2098 1208
9787 2219 1254
10766 2342 1311
11843 2477 1366
13028 2606 1416
14331 2731 1444
15765 2928 1541
17342 3097 1614
19077 3274 1683
20985 3412 1715
23084 3613 1786
25393 3859 1902
27933 4039 1971
30727 4217 2047
33800 4468 2158
37180 4805 2302
40898 5112 2400
44988 5384 2496
49487 5737 2656
54436 6001 2734
59880 6293 2851
65868 6539 2905
72455 6802 2962
79701 7147 3093
87672 7453 3185
96440 7820 3323
106085 8216 3458
116694 8524 3579
128364 8991 3773
141201 9609 4046
155322 10064 4225
170855 10742 4534
187941 11351 4694
206736 11766 4806
227410 12068 4861
250152 12630 5036
275168 13194 5232
302685 13533 4500
312075 13611 4279
