1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 11 11
13 12 11
15 14 13
17 15 13
19 17 15
21 19 17
24 21 19
27 22 18
30 25 21
33 26 22
36 29 25
39 32 28
43 35 31
48 39 35
53 42 37
58 47 42
64 51 46
71 56 50
79 62 54
87 69 61
95 76 68
105 83 74
116 89 79
128 96 85
141 103 91
156 109 92
172 118 99
188 130 110
207 139 116
225 153 129
248 165 136
273 176 146
301 190 156
332 206 170
366 225 185
403 242 198
444 253 199
489 271 208
538 286 214
592 303 225
652 327 243
718 347 252
790 367 264
870 399 288
958 425 305
1054 446 306
1160 479 325
1276 516 356
1404 552 381
1545 588 401
1700 627 425
1871 659 433
2059 692 444
2265 729 459
2492 796 496
2721 876 556
2990 964 619
3290 1034 659
3620 1113 701
3983 1177 724
4382 1251 773
4821 1322 808
5304 1402 847
5835 1479 877
6419 1567 907
7061 1651 929
7768 1743 975
8545 1841 1014
9400 1985 1103
10340 2074 1132
11375 2201 1185
12513 2302 1232
13765 2425 1287
15142 2586 1374
16657 2764 1449
18323 2899 1483
20156 3039 1536
22172 3142 1565
24390 3277 1599
26830 3438 1663
29514 3639 1738
32466 3837 1806
35713 4097 1933
39285 4369 2060
43214 4552 2092
47536 4811 2195
52290 5010 2238
57520 5293 2329
63273 5583 2429
69601 5858 2503
76562 6178 2636
84219 6412 2722
92641 6794 2841
101906 7179 2987
112097 7499 3097
123307 7833 3191
135638 8138 3292
149202 8435 3351
164123 8766 3443
180536 9209 3554
195064 9597 3688
