1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 11 11
13 13 13
15 14 13
17 16 15
19 18 17
21 20 19
24 20 16
27 22 18
30 25 21
33 26 21
37 28 22
41 30 24
46 31 23
51 35 26
56 39 29
62 42 32
69 46 36
76 51 40
84 57 46
93 62 50
103 68 52
114 73 55
126 80 62
139 88 70
152 97 78
168 105 82
185 114 90
204 121 91
225 132 100
248 143 107
273 151 106
301 162 113
332 179 128
366 190 138
403 199 140
444 216 153
489 230 165
538 254 187
592 276 206
652 300 222
718 320 234
790 344 246
870 376 270
958 414 294
1054 449 317
1160 478 333
1276 515 356
1404 558 391
1545 598 416
1700 625 424
1871 673 457
2059 718 484
2265 768 512
2492 832 551
2742 898 590
3017 957 628
3319 1012 652
3651 1077 690
4017 1135 717
4419 1219 776
4861 1316 843
5348 1380 865
5883 1478 912
6472 1567 962
7120 1685 1026
7833 1806 1093
8617 1958 1183
9479 2068 1227
10427 2198 1297
11470 2291 1316
12618 2413 1377
13880 2519 1434
15269 2612 1468
16796 2726 1497
18476 2842 1542
20324 2960 1583
22357 3053 1599
24593 3176 1648
27053 3296 1698
29759 3406 1726
32735 3534 1770
36009 3667 1806
39610 3839 1871
43571 3992 1908
47929 4147 1960
52722 4330 2039
57995 4505 2103
63795 4667 2163
70175 4898 2245
77193 5094 2312
84913 5320 2392
93405 5537 2462
102746 5778 2545
113021 6000 2590
124324 6253 2635
136757 6534 2731
150433 6814 2817
165477 7178 2965
182025 7536 3051
200228 7820 3136
217915 8602 3468
236852 9463 3818
245882 9773 3922
