1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 11 11
13 13 13
15 15 15
17 16 15
19 18 17
21 20 19
23 22 21
26 24 22
29 25 21
32 27 22
35 30 25
38 33 28
42 36 30
47 39 33
52 42 36
58 46 39
64 51 44
71 55 46
78 61 52
86 65 55
95 70 58
105 76 63
116 82 67
128 91 74
141 99 80
156 107 87
172 118 97
190 128 105
210 139 111
232 148 116
256 160 123
282 169 127
311 181 137
343 198 151
378 209 155
416 224 164
458 247 182
504 261 193
555 279 203
610 307 228
671 330 247
739 353 262
813 381 282
895 408 303
985 443 324
1084 481 349
1193 522 380
1313 573 417
1445 608 440
1590 656 476
1750 707 511
1913 778 566
2105 836 600
2316 892 627
2548 962 673
2803 1037 720
3084 1114 775
3393 1182 816
3733 1267 865
4107 1354 911
4518 1470 994
4970 1585 1079
5467 1681 1127
6014 1787 1180
6616 1889 1233
7278 1988 1285
8006 2081 1327
8807 2203 1393
9688 2353 1469
10657 2487 1533
11723 2664 1619
12896 2859 1720
14186 3038 1800
15605 3255 1914
17166 3431 1986
18883 3632 2080
20772 3819 2148
22850 4064 2247
25136 4405 2445
27650 4643 2531
30416 4893 2630
33458 5157 2743
36804 5425 2794
40485 5687 2891
44534 5932 2983
48988 6165 3054
53887 6439 3139
59276 6769 3258
65204 7115 3379
71725 7456 3471
78898 7884 3648
86788 8224 3742
95467 8650 3877
105014 9251 4135
115516 9710 4316
127068 10200 4494
139775 10575 4584
145487 10798 4669
